Africa/Abidjan, GMT, UTC +0:00
Africa/Accra, GHST, UTC +0:00
Africa/Addis_Ababa, ADMT, UTC +3:00
Africa/Algiers, CEST, UTC +1:00
Africa/Asmara, ADMT, UTC +3:00
Africa/Bamako, GMT, UTC +0:00
Africa/Bangui, WAT, UTC +1:00
Africa/Banjul, GMT, UTC +0:00
Africa/Bissau, GMT, UTC +0:00
Africa/Blantyre, CAT, UTC +2:00
Africa/Brazzaville, WAT, UTC +1:00
Africa/Bujumbura, CAT, UTC +2:00
Africa/Cairo, EEST, UTC +2:00
Africa/Casablanca, CET, UTC +0:00
Africa/Ceuta, CEST, UTC +1:00
Africa/Conakry, GMT, UTC +0:00
Africa/Dakar, GMT, UTC +0:00
Africa/Dar_es_Salaam, BEAUT, UTC +3:00
Africa/Djibouti, EAT, UTC +3:00
Africa/Douala, WAT, UTC +1:00
Africa/El_Aaiun, WAT, UTC +0:00
Africa/Freetown, GMT, UTC +0:00
Africa/Gaborone, CAST, UTC +2:00
Africa/Harare, CAT, UTC +2:00
Africa/Johannesburg, SAST, UTC +2:00
Africa/Juba, CAST, UTC +3:00
Africa/Kampala, BEAT, UTC +3:00
Africa/Khartoum, CAST, UTC +3:00
Africa/Kigali, CAT, UTC +2:00
Africa/Kinshasa, WAT, UTC +1:00
Africa/Lagos, WAT, UTC +1:00
Africa/Libreville, WAT, UTC +1:00
Africa/Lome, GMT, UTC +0:00
Africa/Luanda, AOT, UTC +1:00
Africa/Lubumbashi, CAT, UTC +2:00
Africa/Lusaka, CAT, UTC +2:00
Africa/Malabo, GMT, UTC +1:00
Africa/Maputo, CAT, UTC +2:00
Africa/Maseru, SAST, UTC +2:00
Africa/Mbabane, SAST, UTC +2:00
Africa/Mogadishu, BEAT, UTC +3:00
Africa/Monrovia, GMT, UTC +0:00
Africa/Nairobi, BEAT, UTC +3:00
Africa/Ndjamena, WAST, UTC +1:00
Africa/Niamey, GMT, UTC +1:00
Africa/Nouakchott, GMT, UTC +0:00
Africa/Ouagadougou, GMT, UTC +0:00
Africa/Porto-Novo, GMT, UTC +1:00
Africa/Sao_Tome, GMT, UTC +0:00
Africa/Tripoli, CEST, UTC +2:00
Africa/Tunis, CEST, UTC +1:00
Africa/Windhoek, CAT, UTC +2:00
America/Adak, AHST, UTC -10:00
America/Anchorage, AHDT, UTC -9:00
America/Anguilla, AST, UTC -4:00
America/Antigua, AST, UTC -4:00
America/Araguaina, BRST, UTC -3:00
America/Argentina/Buenos_Aires, ARST, UTC -3:00
America/Argentina/Catamarca, ARST, UTC -3:00
America/Argentina/Cordoba, ARST, UTC -3:00
America/Argentina/Jujuy, ARST, UTC -3:00
America/Argentina/La_Rioja, ARST, UTC -3:00
America/Argentina/Mendoza, ARST, UTC -3:00
America/Argentina/Rio_Gallegos, ARST, UTC -3:00
America/Argentina/Salta, ARST, UTC -3:00
America/Argentina/San_Juan, ARST, UTC -3:00
America/Argentina/San_Luis, ARST, UTC -3:00
America/Argentina/Tucuman, ARST, UTC -3:00
America/Argentina/Ushuaia, ARST, UTC -3:00
America/Aruba, ANT, UTC -4:00
America/Asuncion, AMT, UTC -3:00
America/Atikokan, CDT, UTC -5:00
America/Bahia, BRST, UTC -3:00
America/Bahia_Banderas, CDT, UTC -6:00
America/Barbados, ADT, UTC -4:00
America/Belem, BRST, UTC -3:00
America/Belize, CDT, UTC -6:00
America/Blanc-Sablon, ADT, UTC -4:00
America/Boa_Vista, AMST, UTC -4:00
America/Bogota, BMT, UTC -5:00
America/Boise, MDT, UTC -7:00
America/Cambridge_Bay, CDT, UTC -7:00
America/Campo_Grande, AMST, UTC -3:00
America/Cancun, CDT, UTC -5:00
America/Caracas, CMT, UTC -4:30
America/Cayenne, GFT, UTC -3:00
America/Cayman, EST, UTC -5:00
America/Chicago, CDT, UTC -6:00
America/Chihuahua, CDT, UTC -7:00
America/Costa_Rica, CDT, UTC -6:00
America/Creston, MST, UTC -7:00
America/Cuiaba, AMST, UTC -3:00
America/Curacao, ANT, UTC -4:00
America/Danmarkshavn, GMT, UTC +0:00
America/Dawson, PDT, UTC -8:00
America/Dawson_Creek, MST, UTC -7:00
America/Denver, MDT, UTC -7:00
America/Detroit, CST, UTC -5:00
America/Dominica, AST, UTC -4:00
America/Edmonton, MDT, UTC -7:00
America/Eirunepe, ACST, UTC -5:00
America/El_Salvador, CDT, UTC -6:00
America/Fortaleza, BRST, UTC -3:00
America/Glace_Bay, ADT, UTC -4:00
America/Godthab, WGST, UTC -3:00
America/Goose_Bay, ADDT, UTC -4:00
America/Grand_Turk, EDT, UTC -4:00
America/Grenada, AST, UTC -4:00
America/Guadeloupe, AST, UTC -4:00
America/Guatemala, CDT, UTC -6:00
America/Guayaquil, ECT, UTC -5:00
America/Guyana, GBGT, UTC -4:00
America/Halifax, ADT, UTC -4:00
America/Havana, CDT, UTC -5:00
America/Hermosillo, CST, UTC -7:00
America/Indiana/Indianapolis, CDT, UTC -5:00
America/Indiana/Knox, CDT, UTC -6:00
America/Indiana/Marengo, CDT, UTC -5:00
America/Indiana/Petersburg, CDT, UTC -5:00
America/Indiana/Tell_City, CDT, UTC -6:00
America/Indiana/Vevay, CDT, UTC -5:00
America/Indiana/Vincennes, CDT, UTC -5:00
America/Indiana/Winamac, CDT, UTC -5:00
America/Inuvik, MDT, UTC -7:00
America/Iqaluit, CDT, UTC -5:00
America/Jamaica, EDT, UTC -5:00
America/Juneau, AKDT, UTC -9:00
America/Kentucky/Louisville, CDT, UTC -5:00
America/Kentucky/Monticello, CDT, UTC -5:00
America/Kralendijk, ANT, UTC -4:00
America/La_Paz, BOST, UTC -4:00
America/Lima, PEST, UTC -5:00
America/Los_Angeles, PDT, UTC -8:00
America/Lower_Princes, ANT, UTC -4:00
America/Maceio, BRST, UTC -3:00
America/Managua, CDT, UTC -6:00
America/Manaus, AMST, UTC -4:00
America/Marigot, AST, UTC -4:00
America/Martinique, ADT, UTC -4:00
America/Matamoros, CDT, UTC -6:00
America/Mazatlan, CST, UTC -7:00
America/Menominee, CDT, UTC -6:00
America/Merida, CDT, UTC -6:00
America/Metlakatla, PDT, UTC -8:00
America/Mexico_City, CDT, UTC -6:00
America/Miquelon, AST, UTC -3:00
America/Moncton, ADT, UTC -4:00
America/Monterrey, CDT, UTC -6:00
America/Montevideo, MMT, UTC -2:00
America/Montserrat, AST, UTC -4:00
America/Nassau, EDT, UTC -5:00
America/New_York, EDT, UTC -5:00
America/Nipigon, EDT, UTC -5:00
America/Nome, AKDT, UTC -9:00
America/Noronha, FNST, UTC -2:00
America/North_Dakota/Beulah, CDT, UTC -6:00
America/North_Dakota/Center, CDT, UTC -6:00
America/North_Dakota/New_Salem, CDT, UTC -6:00
America/Ojinaga, CDT, UTC -7:00
America/Panama, CMT, UTC -5:00
America/Pangnirtung, ADDT, UTC -5:00
America/Paramaribo, NEGT, UTC -3:00
America/Phoenix, MDT, UTC -7:00
America/Port-au-Prince, EDT, UTC -5:00
America/Port_of_Spain, AST, UTC -4:00
America/Porto_Velho, AMST, UTC -4:00
America/Puerto_Rico, APT, UTC -4:00
America/Rainy_River, CDT, UTC -6:00
America/Rankin_Inlet, CDDT, UTC -6:00
America/Recife, BRST, UTC -3:00
America/Regina, CST, UTC -6:00
America/Resolute, CDDT, UTC -6:00
America/Rio_Branco, ACST, UTC -5:00
America/Santa_Isabel, MST, UTC -8:00
America/Santarem, AMST, UTC -3:00
America/Santiago, CLST, UTC -3:00
America/Santo_Domingo, AST, UTC -4:00
America/Sao_Paulo, BRST, UTC -2:00
America/Scoresbysund, CGST, UTC -1:00
America/Sitka, AKDT, UTC -9:00
America/St_Barthelemy, AST, UTC -4:00
America/St_Johns, NDDT, UTC -3:30
America/St_Kitts, AST, UTC -4:00
America/St_Lucia, AST, UTC -4:00
America/St_Thomas, AST, UTC -4:00
America/St_Vincent, AST, UTC -4:00
America/Swift_Current, CST, UTC -6:00
America/Tegucigalpa, CDT, UTC -6:00
America/Thule, ADT, UTC -4:00
America/Thunder_Bay, CST, UTC -5:00
America/Tijuana, MST, UTC -8:00
America/Toronto, EDT, UTC -5:00
America/Tortola, AST, UTC -4:00
America/Vancouver, PDT, UTC -8:00
America/Whitehorse, PDT, UTC -8:00
America/Winnipeg, CDT, UTC -6:00
America/Yakutat, AKDT, UTC -9:00
America/Yellowknife, MDDT, UTC -7:00
Antarctica/Casey, AWST, UTC +8:00
Antarctica/Davis, DAVT, UTC +7:00
Antarctica/DumontDUrville, DDUT, UTC +10:00
Antarctica/Macquarie, AEDT, UTC +11:00
Antarctica/Mawson, MAWT, UTC +5:00
Antarctica/McMurdo, NZDT, UTC +13:00
Antarctica/Palmer, ARST, UTC -3:00
Antarctica/Rothera, ROTT, UTC -3:00
Antarctica/Syowa, SYOT, UTC +3:00
Antarctica/Troll, CEST, UTC +0:00
Antarctica/Vostok, VOST, UTC +6:00
Arctic/Longyearbyen, CEST, UTC +1:00
Asia/Aden, AST, UTC +3:00
Asia/Almaty, ALMST, UTC +6:00
Asia/Amman, EEST, UTC +2:00
Asia/Anadyr, ANAST, UTC +12:00
Asia/Aqtau, AQTST, UTC +5:00
Asia/Aqtobe, AKTST, UTC +5:00
Asia/Ashgabat, ASHST, UTC +5:00
Asia/Baghdad, ADT, UTC +3:00
Asia/Bahrain, AST, UTC +3:00
Asia/Baku, AZST, UTC +4:00
Asia/Bangkok, BMT, UTC +7:00
Asia/Beirut, EEST, UTC +2:00
Asia/Bishkek, FRUST, UTC +6:00
Asia/Brunei, BNT, UTC +8:00
Asia/Chita, IRKT, UTC +8:00
Asia/Choibalsan, CHOST, UTC +8:00
Asia/Colombo, IHST, UTC +5:30
Asia/Damascus, EEST, UTC +2:00
Asia/Dhaka, BDST, UTC +6:00
Asia/Dili, JST, UTC +9:00
Asia/Dubai, GST, UTC +4:00
Asia/Dushanbe, DUSST, UTC +5:00
Asia/Gaza, EEST, UTC +2:00
Asia/Hebron, EEST, UTC +2:00
Asia/Ho_Chi_Minh, ICT, UTC +7:00
Asia/Hong_Kong, HKST, UTC +8:00
Asia/Hovd, HOVST, UTC +7:00
Asia/Irkutsk, IMT, UTC +8:00
Asia/Jakarta, BMT, UTC +7:00
Asia/Jayapura, ACST, UTC +9:00
Asia/Jerusalem, IDDT, UTC +2:00
Asia/Kabul, AFT, UTC +4:30
Asia/Kamchatka, PETST, UTC +12:00
Asia/Karachi, IST, UTC +5:00
Asia/Kathmandu, IST, UTC +5:45
Asia/Khandyga, VLAST, UTC +9:00
Asia/Kolkata, BURT, UTC +5:30
Asia/Krasnoyarsk, KRAST, UTC +7:00
Asia/Kuala_Lumpur, JST, UTC +8:00
Asia/Kuching, BORTST, UTC +8:00
Asia/Kuwait, AST, UTC +3:00
Asia/Macau, CST, UTC +8:00
Asia/Magadan, MAGST, UTC +10:00
Asia/Makassar, JST, UTC +8:00
Asia/Manila, JST, UTC +8:00
Asia/Muscat, GST, UTC +4:00
Asia/Nicosia, EEST, UTC +2:00
Asia/Novokuznetsk, KRAST, UTC +7:00
Asia/Novosibirsk, NOVST, UTC +6:00
Asia/Omsk, OMSST, UTC +6:00
Asia/Oral, ORAST, UTC +5:00
Asia/Phnom_Penh, ICT, UTC +7:00
Asia/Pontianak, JST, UTC +7:00
Asia/Pyongyang, JCST, UTC +9:00
Asia/Qatar, AST, UTC +3:00
Asia/Qyzylorda, KIZST, UTC +6:00
Asia/Rangoon, BURT, UTC +6:30
Asia/Riyadh, AST, UTC +3:00
Asia/Sakhalin, JCST, UTC +10:00
Asia/Samarkand, SAMST, UTC +5:00
Asia/Seoul, JCST, UTC +9:00
Asia/Shanghai, CDT, UTC +8:00
Asia/Singapore, JST, UTC +8:00
Asia/Srednekolymsk, MAGST, UTC +11:00
Asia/Taipei, CDT, UTC +8:00
Asia/Tashkent, TASST, UTC +5:00
Asia/Tbilisi, GEST, UTC +4:00
Asia/Tehran, IRDT, UTC +3:30
Asia/Thimphu, BTT, UTC +6:00
Asia/Tokyo, JCST, UTC +9:00
Asia/Ulaanbaatar, ULAST, UTC +8:00
Asia/Urumqi, XJT, UTC +6:00
Asia/Ust-Nera, MAGST, UTC +10:00
Asia/Vientiane, ICT, UTC +7:00
Asia/Vladivostok, VLAST, UTC +10:00
Asia/Yakutsk, YAKST, UTC +9:00
Asia/Yekaterinburg, SVEST, UTC +5:00
Asia/Yerevan, AMST, UTC +4:00
Atlantic/Azores, AZOMT, UTC -1:00
Atlantic/Bermuda, ADT, UTC -4:00
Atlantic/Canary, CANT, UTC +0:00
Atlantic/Cape_Verde, CVST, UTC -1:00
Atlantic/Faroe, WEST, UTC +0:00
Atlantic/Madeira, FMT, UTC +0:00
Atlantic/Reykjavik, GMT, UTC +0:00
Atlantic/South_Georgia, GST, UTC -2:00
Atlantic/St_Helena, GMT, UTC +0:00
Atlantic/Stanley, FKST, UTC -3:00
Australia/Adelaide, ACDT, UTC +10:30
Australia/Brisbane, AEDT, UTC +10:00
Australia/Broken_Hill, ACDT, UTC +10:30
Australia/Currie, AEDT, UTC +11:00
Australia/Darwin, ACDT, UTC +9:30
Australia/Eucla, ACWDT, UTC +8:45
Australia/Hobart, AEDT, UTC +11:00
Australia/Lindeman, AEDT, UTC +10:00
Australia/Lord_Howe, AEST, UTC +11:00
Australia/Melbourne, AEDT, UTC +11:00
Australia/Perth, AWDT, UTC +8:00
Australia/Sydney, AEDT, UTC +11:00
Europe/Amsterdam, AMT, UTC +1:00
Europe/Andorra, CEST, UTC +1:00
Europe/Athens, AMT, UTC +2:00
Europe/Belgrade, CEST, UTC +1:00
Europe/Berlin, CEMT, UTC +1:00
Europe/Bratislava, CEST, UTC +1:00
Europe/Brussels, CEST, UTC +1:00
Europe/Bucharest, BMT, UTC +2:00
Europe/Budapest, CEST, UTC +1:00
Europe/Busingen, CEST, UTC +1:00
Europe/Chisinau, BMT, UTC +2:00
Europe/Copenhagen, CEST, UTC +1:00
Europe/Dublin, BST, UTC +0:00
Europe/Gibraltar, BDST, UTC +1:00
Europe/Guernsey, BDST, UTC +0:00
Europe/Helsinki, EEST, UTC +2:00
Europe/Isle_of_Man, BDST, UTC +0:00
Europe/Istanbul, EEST, UTC +2:00
Europe/Jersey, BDST, UTC +0:00
Europe/Kaliningrad, CEST, UTC +2:00
Europe/Kiev, CEST, UTC +2:00
Europe/Lisbon, CEST, UTC +0:00
Europe/Ljubljana, CEST, UTC +1:00
Europe/London, BDST, UTC +0:00
Europe/Luxembourg, CEST, UTC +1:00
Europe/Madrid, CEST, UTC +1:00
Europe/Malta, CEST, UTC +1:00
Europe/Mariehamn, EEST, UTC +2:00
Europe/Minsk, CEST, UTC +3:00
Europe/Monaco, CEST, UTC +1:00
Europe/Moscow, EEST, UTC +3:00
Europe/Oslo, CEST, UTC +1:00
Europe/Paris, CEST, UTC +1:00
Europe/Podgorica, CEST, UTC +1:00
Europe/Prague, CEST, UTC +1:00
Europe/Riga, CEST, UTC +2:00
Europe/Rome, CEST, UTC +1:00
Europe/Samara, EEST, UTC +4:00
Europe/San_Marino, CEST, UTC +1:00
Europe/Sarajevo, CEST, UTC +1:00
Europe/Simferopol, CEST, UTC +3:00
Europe/Skopje, CEST, UTC +1:00
Europe/Sofia, CEST, UTC +2:00
Europe/Stockholm, CEST, UTC +1:00
Europe/Tallinn, CEST, UTC +2:00
Europe/Tirane, CEST, UTC +1:00
Europe/Uzhgorod, CEST, UTC +2:00
Europe/Vaduz, CEST, UTC +1:00
Europe/Vatican, CEST, UTC +1:00
Europe/Vienna, CEST, UTC +1:00
Europe/Vilnius, CEST, UTC +2:00
Europe/Volgograd, MSK, UTC +3:00
Europe/Warsaw, CEST, UTC +1:00
Europe/Zagreb, CEST, UTC +1:00
Europe/Zaporozhye, CEST, UTC +2:00
Europe/Zurich, CEST, UTC +1:00
Indian/Antananarivo, EAST, UTC +3:00
Indian/Chagos, IOT, UTC +6:00
Indian/Christmas, CXT, UTC +7:00
Indian/Cocos, CCT, UTC +6:30
Indian/Comoro, EAT, UTC +3:00
Indian/Kerguelen, TFT, UTC +5:00
Indian/Mahe, SCT, UTC +4:00
Indian/Maldives, MMT, UTC +5:00
Indian/Mauritius, MUST, UTC +4:00
Indian/Mayotte, EAT, UTC +3:00
Indian/Reunion, RET, UTC +4:00
Pacific/Apia, SDT, UTC +14:00
Pacific/Auckland, NZDT, UTC +13:00
Pacific/Bougainville, , UTC +11:00
Pacific/Chatham, CHADT, UTC +13:45
Pacific/Chuuk, CHUT, UTC +10:00
Pacific/Easter, EASST, UTC -5:00
Pacific/Efate, VUST, UTC +11:00
Pacific/Enderbury, PHOT, UTC +13:00
Pacific/Fakaofo, TKT, UTC +13:00
Pacific/Fiji, FJST, UTC +13:00
Pacific/Funafuti, TVT, UTC +12:00
Pacific/Galapagos, ECT, UTC -6:00
Pacific/Gambier, GAMT, UTC -9:00
Pacific/Guadalcanal, SBT, UTC +11:00
Pacific/Guam, CHST, UTC +10:00
Pacific/Honolulu, HDT, UTC -10:00
Pacific/Johnston, HDT, UTC -10:00
Pacific/Kiritimati, LINT, UTC +14:00
Pacific/Kosrae, KOST, UTC +11:00
Pacific/Kwajalein, KWAT, UTC +12:00
Pacific/Majuro, MHT, UTC +12:00
Pacific/Marquesas, MART, UTC -9:30
Pacific/Midway, BST, UTC -11:00
Pacific/Nauru, JST, UTC +12:00
Pacific/Niue, NUT, UTC -11:00
Pacific/Norfolk, NFT, UTC +11:30
Pacific/Noumea, NCST, UTC +11:00
Pacific/Pago_Pago, BST, UTC -11:00
Pacific/Palau, PWT, UTC +9:00
Pacific/Pitcairn, PNT, UTC -8:00
Pacific/Pohnpei, PONT, UTC +11:00
Pacific/Port_Moresby, PGT, UTC +10:00
Pacific/Rarotonga, CKHST, UTC -10:00
Pacific/Saipan, CHST, UTC +10:00
Pacific/Tahiti, TAHT, UTC -10:00
Pacific/Tarawa, GILT, UTC +12:00
Pacific/Tongatapu, TOST, UTC +13:00
Pacific/Wake, WAKT, UTC +12:00
Pacific/Wallis, WFT, UTC +12:00
UTC, UTC, UTC +0:00
